Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
62,1,1,2,2,52,8,3,0,0,1,0,-1,9,3
63,1,1,1,1,-1,-1,3,0,0,0,0,-1,1,1
64,1,1,2,2,86,11,3,0,0,0,1,-1,11,-1
65,1,1,3,1,-1,-1,2,4,1,0,0,-1,0,-1
66,2,1,1,2,36,7,3,0,0,0,0,-1,1,1
67,1,1,3,1,38,7,3,4,1,0,0,-1,0,-1
68,1,1,3,1,40,7,3,5,1,0,0,-1,0,1
69,1,1,3,2,19,4,3,10,9,0,0,-1,0,1
70,1,1,1,1,14,3,3,0,0,0,0,-1,1,-1
71,1,1,1,1,41,7,3,0,0,0,0,-1,9,1
72,1,1,3,2,6,2,3,5,3,0,0,-1,0,1
73,1,1,1,1,43,7,3,0,0,0,0,-1,5,-1
74,1,1,1,1,24,5,3,0,0,0,0,-1,9,1
75,2,2,1,1,-1,-1,3,0,0,0,0,-1,9,1
76,2,1,1,2,59,9,3,0,0,0,0,-1,1,1
77,1,1,1,1,19,4,3,0,0,0,0,-1,3,1
78,1,2,3,2,26,6,3,4,3,0,0,-1,0,1
79,1,1,1,1,29,6,3,0,0,0,0,-1,9,1
80,2,2,1,1,29,6,3,0,0,0,0,-1,9,1
81,2,1,2,2,20,4,3,0,0,2,0,-1,9,-1
82,2,1,1,1,29,6,3,0,0,0,0,-1,3,1
83,1,1,3,1,58,9,3,5,1,0,0,-1,0,-1
84,1,1,3,2,39,7,3,4,3,0,0,-1,0,1
85,1,1,1,1,39,7,3,0,0,0,0,-1,3,-1
86,1,1,1,2,36,7,3,0,0,0,0,-1,3,1
87,1,1,3,2,28,6,3,4,3,0,0,-1,0,1
88,3,1,1,1,26,6,3,0,0,0,0,-1,1,1
89,1,1,3,1,21,5,3,5,3,0,0,-1,0,1
90,1,1,3,2,61,9,3,5,1,0,0,-1,0,1
91,1,1,3,1,75,10,3,1,1,0,0,-1,0,1
92,2,1,1,1,29,6,3,0,0,0,0,-1,1,1
93,1,1,3,1,25,5,3,7,8,0,0,-1,0,-1
94,1,1,2,2,35,6,3,0,0,0,3,-1,11,-1
95,2,1,1,1,54,8,3,0,0,0,0,-1,1,-1
96,1,1,1,1,45,7,3,0,0,0,0,-1,9,1
97,2,1,1,1,26,6,3,0,0,0,0,-1,3,1
98,2,1,1,1,24,5,3,0,0,0,0,-1,5,1
99,1,1,1,2,35,6,3,0,0,0,0,-1,2,-1
100,2,1,1,1,52,8,3,0,0,0,0,-1,1,1
101,1,1,1,1,31,6,2,0,0,0,0,-1,2,1
102,2,1,1,2,26,6,3,0,0,0,0,-1,1,1
103,1,1,1,1,29,6,3,0,0,0,0,-1,9,1
104,1,2,2,1,28,6,3,0,0,1,0,-1,9,1
105,2,3,1,2,23,5,3,0,0,0,0,-1,9,1
106,2,4,2,1,31,6,3,0,0,1,0,-1,9,1
107,1,1,3,1,54,8,3,5,2,0,0,-1,0,1
108,1,1,3,2,27,6,3,5,1,0,0,-1,0,-1
109,1,1,1,1,35,6,3,0,0,0,0,-1,2,-1
110,2,1,1,1,74,10,2,0,0,0,0,-1,1,1
111,1,1,1,1,36,7,3,0,0,0,0,-1,9,-1
112,1,1,2,1,46,8,3,0,0,0,2,-1,11,1
113,1,1,1,1,29,6,3,0,0,0,0,-1,1,1
114,1,1,1,2,38,7,3,0,0,0,0,-1,9,1
115,2,1,1,1,34,6,3,0,0,0,0,-1,1,1
116,1,1,1,1,38,7,3,0,0,0,0,-1,5,1
117,2,1,1,1,34,6,3,0,0,0,0,-1,9,1
118,3,2,1,2,37,7,3,0,0,0,0,-1,9,1
119,1,1,1,2,21,5,3,0,0,0,0,-1,4,-1
120,1,1,3,2,26,6,3,4,1,0,0,-1,0,1
121,1,1,1,1,40,7,3,0,0,0,0,-1,1,1
122,1,1,1,1,32,6,3,0,0,0,0,-1,5,1
123,1,1,1,1,40,7,3,0,0,0,0,-1,9,1
124,1,1,1,1,48,8,3,0,0,0,0,-1,9,1
125,1,1,2,1,42,7,2,0,0,0,2,-1,11,1
126,2,1,1,2,44,7,2,0,0,0,0,-1,1,1
127,1,1,1,1,53,8,3,0,0,0,0,-1,4,1
128,1,2,3,2,25,5,3,4,1,0,0,-1,0,1
129,1,1,3,1,78,11,3,5,1,0,0,-1,0,-1
130,3,1,1,1,-1,-1,3,0,0,0,0,-1,3,-1
131,3,2,2,1,-1,-1,3,0,0,0,0,-1,3,-1
132,1,1,1,1,34,6,3,0,0,0,0,-1,5,1
133,1,1,3,2,46,8,3,4,3,0,0,-1,0,-1
134,1,1,1,1,30,6,3,0,0,0,0,-1,5,1
135,1,1,1,1,33,6,2,0,0,0,0,-1,3,1
136,1,1,3,2,20,4,3,5,1,0,0,-1,0,1
137,1,1,3,2,57,9,3,5,1,0,0,-1,0,-1
138,1,2,3,2,35,6,3,5,1,0,0,-1,0,1
139,1,1,2,1,33,6,3,0,0,0,4,-1,11,1
140,1,1,3,2,41,7,3,10,1,0,0,-1,0,-1
141,1,1,3,2,63,9,3,5,1,0,0,-1,0,1
142,1,1,1,2,46,8,3,0,0,0,0,-1,9,-1
143,2,1,1,1,29,6,3,0,0,0,0,-1,1,-1
144,1,1,1,1,27,6,3,0,0,0,0,-1,2,1
145,1,1,1,1,36,7,3,0,0,0,0,-1,9,1
146,1,1,1,1,51,8,3,0,0,0,0,-1,9,1
147,1,1,1,1,58,9,3,0,0,0,0,-1,8,1
148,2,1,1,1,24,5,3,0,0,0,0,-1,4,1
149,2,1,1,1,48,8,3,0,0,0,0,-1,5,3
150,1,1,2,2,72,10,3,0,0,0,1,-1,11,-1
151,1,1,3,2,21,5,3,5,3,0,0,-1,0,1
152,2,1,1,2,27,6,3,0,0,0,0,-1,9,1
153,2,1,1,2,31,6,3,0,0,0,0,-1,1,1
154,1,1,1,1,33,6,3,0,0,0,0,-1,5,1
155,1,1,3,2,65,9,3,1,3,0,0,-1,0,-1
156,1,1,3,1,22,5,3,1,1,0,0,-1,0,1
157,2,1,1,1,40,7,3,0,0,0,0,-1,2,1
158,1,1,3,2,53,8,3,4,2,0,0,-1,0,-1
159,1,1,1,2,39,7,3,0,0,0,0,-1,9,1
160,1,1,1,2,45,7,2,0,0,0,0,-1,3,1
161,2,1,1,1,12,3,3,0,0,0,0,-1,1,-1
162,1,1,3,2,31,6,3,1,1,0,0,-1,0,1
163,2,1,1,2,30,6,3,0,0,0,0,-1,1,1
164,1,1,3,1,27,6,3,1,3,0,0,-1,0,1
165,2,1,1,1,31,6,3,0,0,0,0,-1,5,1
166,1,1,3,2,24,5,3,1,1,0,0,-1,0,1
167,1,1,3,1,28,6,3,10,9,0,0,-1,0,1
168,1,1,1,1,37,7,3,0,0,0,0,-1,5,1
169,1,1,1,1,21,5,2,0,0,0,0,-1,3,1
170,1,1,2,1,24,5,3,0,0,0,3,-1,11,1
171,2,1,1,1,21,5,2,0,0,0,0,-1,1,-1
172,2,1,1,1,36,7,3,0,0,0,0,-1,1,1
173,1,1,1,2,36,7,3,0,0,0,0,-1,3,1
174,1,1,1,1,33,6,3,0,0,0,0,-1,5,1
175,1,1,1,1,30,6,3,0,0,0,0,-1,5,2
176,2,1,1,1,31,6,3,0,0,0,0,-1,9,1
177,1,1,3,2,85,11,3,5,3,0,0,-1,0,1
178,1,1,3,2,25,5,3,5,3,0,0,-1,0,1
179,2,1,1,1,13,3,3,0,0,0,0,-1,1,1
180,1,1,3,1,37,7,3,5,1,0,0,-1,0,1
181,2,1,1,1,45,7,3,0,0,0,0,-1,3,1
182,1,1,2,1,28,6,3,0,0,1,0,-1,9,1
183,2,1,1,1,44,7,3,0,0,0,0,-1,1,-1
184,1,1,2,2,30,6,3,0,0,0,0,-1,5,-1
185,1,2,1,1,35,6,3,0,0,0,0,-1,5,1
186,1,1,1,1,31,6,3,0,0,0,0,-1,5,3
187,1,1,1,1,34,6,3,0,0,0,0,-1,1,1
188,1,1,1,1,61,9,3,0,0,0,0,-1,1,1
189,1,1,1,2,32,6,3,0,0,0,0,-1,1,1
190,2,1,1,2,38,7,3,0,0,0,0,-1,3,1
191,2,1,1,1,20,4,3,0,0,0,0,-1,3,1
192,2,1,1,1,34,6,3,0,0,0,0,-1,3,1
193,2,1,1,1,52,8,3,0,0,0,0,-1,1,1
194,1,1,3,1,-1,-1,2,4,3,0,0,-1,0,-1
195,1,1,1,2,27,6,3,0,0,0,0,-1,1,1
196,2,1,1,2,36,7,3,0,0,0,0,-1,9,1
197,1,1,3,1,52,8,3,6,9,0,0,-1,0,-1
198,1,1,1,1,45,7,2,0,0,0,0,-1,3,1
199,1,1,1,1,34,6,3,0,0,0,0,-1,3,1
200,1,1,1,1,27,6,3,0,0,0,0,-1,9,1
201,2,1,1,1,37,7,3,0,0,0,0,-1,9,1
202,2,1,1,2,-1,-1,3,0,0,0,0,-1,9,-1
203,1,1,1,2,27,6,3,0,0,0,0,-1,1,1
204,1,1,1,1,49,8,3,0,0,0,0,-1,5,-1
205,2,1,1,1,36,7,3,0,0,0,0,-1,1,1
206,1,1,1,1,30,6,3,0,0,0,0,-1,5,1
207,1,1,3,1,53,8,3,5,3,0,0,-1,0,1
208,1,1,3,2,20,4,3,4,3,0,0,-1,0,-1
209,1,1,1,1,34,6,3,0,0,0,0,-1,5,-1
210,1,1,3,2,39,7,3,9,5,0,0,-1,0,1
211,1,1,1,1,28,6,3,0,0,0,0,-1,3,1
212,1,1,3,2,37,7,3,4,3,0,0,-1,0,-1
213,2,1,1,1,28,6,3,0,0,0,0,-1,1,1
214,2,1,1,2,25,5,3,0,0,0,0,-1,1,1
215,2,1,1,1,-1,-1,3,0,0,0,0,-1,5,1
216,1,1,3,1,74,10,3,1,3,0,0,-1,0,1
217,1,1,3,1,19,4,3,8,8,0,0,-1,0,2
218,2,1,1,1,8,2,3,0,0,0,0,-1,1,1
219,2,1,1,1,62,9,3,0,0,0,0,-1,9,1
220,1,1,1,1,36,7,3,0,0,0,0,-1,3,1
221,1,1,3,2,19,4,2,5,3,0,0,-1,0,1
222,1,1,1,1,49,8,3,0,0,0,0,-1,3,1
223,1,1,3,1,-1,-1,3,4,1,0,0,-1,0,-1
224,3,1,1,1,45,7,3,0,0,0,0,-1,1,1
225,2,1,1,2,24,5,2,0,0,0,0,-1,1,1
226,1,1,1,1,39,7,3,0,0,0,0,-1,9,1
227,1,1,1,2,36,7,3,0,0,0,0,-1,9,1
228,1,1,2,1,11,3,3,0,0,2,0,-1,9,1
229,1,1,1,1,31,6,3,0,0,0,0,-1,3,1
230,1,1,3,2,27,6,3,6,9,0,0,-1,0,-1
231,1,1,1,1,41,7,3,0,0,0,0,-1,4,1
232,1,1,3,1,35,6,2,5,1,0,0,-1,0,1
233,1,1,2,2,21,5,3,0,0,1,0,-1,9,1
234,1,1,3,1,48,8,3,1,1,0,0,-1,0,1
235,2,1,1,2,30,6,3,0,0,0,0,-1,9,1
236,1,1,1,1,21,5,3,0,0,0,0,-1,5,1
237,1,1,3,1,34,6,2,6,9,0,0,-1,0,-1
238,1,1,1,1,30,6,3,0,0,0,0,-1,3,1
239,1,2,2,2,31,6,3,0,0,1,0,-1,9,-1
240,2,1,1,2,35,6,3,0,0,0,0,-1,9,1
241,1,1,1,1,24,5,3,0,0,0,0,-1,5,1
242,2,1,1,1,18,4,3,0,0,0,0,-1,1,1
243,1,1,2,2,-1,-1,3,0,0,0,4,-1,11,-1
244,1,1,2,1,56,9,3,0,0,0,4,-1,11,1
245,1,1,1,1,29,6,3,0,0,0,0,-1,5,1
246,1,1,2,1,11,3,3,0,0,1,0,-1,9,1
247,1,1,3,1,31,6,3,5,1,0,0,-1,0,-1
248,2,1,1,1,28,6,3,0,0,0,0,-1,4,1
249,1,1,1,1,36,7,3,0,0,0,0,-1,9,-1
250,1,1,1,1,28,6,3,0,0,0,0,-1,1,1
251,1,1,1,1,62,9,3,0,0,0,0,-1,8,1
252,2,1,1,1,21,5,3,0,0,0,0,-1,1,1
253,2,1,1,1,-1,-1,3,0,0,0,0,-1,3,1
254,1,1,1,2,24,5,3,0,0,0,0,-1,9,1
255,1,1,1,1,48,8,2,0,0,0,0,-1,5,1
256,1,1,3,1,49,8,3,5,1,0,0,-1,0,-1
257,1,1,1,1,47,8,3,0,0,0,0,-1,9,1
258,2,1,1,1,25,5,3,0,0,0,0,-1,1,1
259,1,1,1,1,25,5,3,0,0,0,0,-1,5,1
260,1,1,1,1,45,7,3,0,0,0,0,-1,5,1
261,2,1,1,1,30,6,3,0,0,0,0,-1,1,1
262,1,1,3,2,54,8,2,6,9,0,0,-1,0,1
263,2,1,1,1,24,5,3,0,0,0,0,-1,1,1
264,1,1,2,2,36,7,3,0,0,2,0,-1,8,-1
265,1,1,1,1,37,7,3,0,0,0,0,-1,9,1
266,1,1,1,2,32,6,3,0,0,0,0,-1,9,1
267,2,1,1,1,21,5,3,0,0,0,0,-1,3,1
268,2,1,1,2,46,8,3,0,0,0,0,-1,1,-1
269,1,1,3,1,80,11,3,5,3,0,0,-1,0,1
270,1,1,1,1,55,8,3,0,0,0,0,-1,3,-1
271,1,1,2,2,88,11,3,0,0,0,2,-1,11,-1
272,2,1,1,1,39,7,3,0,0,0,0,-1,5,1
273,2,1,1,1,33,6,3,0,0,0,0,-1,3,1
274,1,1,1,1,32,6,3,0,0,0,0,-1,5,1
275,1,1,1,1,35,6,3,0,0,0,0,-1,3,-1
276,2,1,2,2,31,6,3,0,0,0,3,-1,11,-1
277,2,2,2,1,4,1,3,0,0,0,3,-1,11,-1
278,1,1,3,2,20,4,3,5,1,0,0,-1,0,1
279,1,1,1,1,24,5,3,0,0,0,0,-1,1,1
280,1,1,1,1,29,6,3,0,0,0,0,-1,3,1
281,2,2,1,1,-1,-1,3,0,0,0,0,-1,1,-1
282,1,1,1,1,24,5,3,0,0,0,0,-1,3,1
283,2,1,1,1,26,6,3,0,0,0,0,-1,1,1
284,2,1,1,1,36,7,3,0,0,0,0,-1,3,1
285,2,1,1,1,39,7,3,0,0,0,0,-1,5,1
286,1,1,1,1,34,6,3,0,0,0,0,-1,9,1
287,1,1,1,1,21,5,2,0,0,0,0,-1,1,1
288,2,1,1,1,26,6,3,0,0,0,0,-1,9,1
289,1,1,2,2,79,11,3,0,0,0,3,-1,11,1
290,1,1,1,1,34,6,3,0,0,0,0,-1,2,1
291,2,1,1,1,42,7,3,0,0,0,0,-1,1,-1
292,1,1,2,2,79,11,3,0,0,0,2,-1,11,1
293,2,2,1,2,54,8,3,0,0,0,0,-1,1,1
294,1,1,1,2,23,5,2,0,0,0,0,-1,1,1
295,1,1,3,2,82,11,3,5,2,0,0,-1,0,1
296,2,1,1,1,52,8,3,0,0,0,0,-1,5,1
297,2,1,1,2,27,6,3,0,0,0,0,-1,9,1
298,1,1,2,2,53,8,2,0,0,0,2,-1,11,-1
299,2,1,1,1,50,8,2,0,0,0,0,-1,3,1
300,2,1,2,2,-1,-1,2,0,0,0,0,-1,3,-1
301,1,1,1,1,32,6,2,0,0,0,0,-1,1,1
302,1,1,3,1,24,5,3,5,1,0,0,-1,0,1
303,1,1,1,1,39,7,3,0,0,0,0,-1,1,1
304,1,1,1,1,27,6,3,0,0,0,0,-1,2,1
305,1,1,3,1,23,5,3,6,9,0,0,-1,0,1
306,2,1,1,1,63,9,3,0,0,0,0,-1,5,1
307,1,1,1,1,19,4,3,0,0,0,0,-1,3,1
308,1,1,3,1,19,4,3,4,1,0,0,-1,0,3
309,2,1,1,1,34,6,3,0,0,0,0,-1,3,1
310,1,1,3,1,6,2,3,1,1,0,0,-1,0,1
311,1,1,1,2,27,6,3,0,0,0,0,-1,9,1
312,1,1,1,1,29,6,3,0,0,0,0,-1,5,1
313,1,1,1,1,45,7,3,0,0,0,0,-1,9,1
314,1,1,1,1,36,7,3,0,0,0,0,-1,9,1
315,2,2,1,1,37,7,3,0,0,0,0,-1,5,-1
316,1,1,3,1,26,6,3,5,3,0,0,-1,0,1
317,1,1,1,1,46,8,3,0,0,0,0,-1,8,1
318,1,1,2,1,-1,-1,3,0,0,2,0,-1,9,-1
319,1,1,1,2,62,9,3,0,0,0,0,-1,5,1
320,3,1,1,1,57,9,3,0,0,0,0,-1,8,1
321,1,1,1,1,47,8,2,0,0,0,0,-1,3,1
322,1,1,1,1,30,6,3,0,0,0,0,-1,1,1
323,1,1,1,2,38,7,3,0,0,0,0,-1,9,1
324,2,1,1,1,27,6,2,0,0,0,0,-1,1,-1
325,2,1,1,2,53,8,3,0,0,0,0,-1,9,2
326,1,1,1,1,34,6,3,0,0,0,0,-1,9,1
327,2,2,2,2,52,8,3,0,0,0,4,-1,11,1
328,1,1,3,1,40,7,3,5,1,0,0,-1,0,1
329,1,1,3,1,30,6,3,4,3,0,0,-1,0,1
330,1,1,1,2,31,6,3,0,0,0,0,-1,1,1
331,1,1,1,2,21,5,3,0,0,0,0,-1,3,1
332,1,1,3,1,48,8,3,1,1,0,0,-1,0,1
333,1,1,2,2,52,8,3,0,0,0,3,-1,11,1
334,1,1,1,1,25,5,3,0,0,0,0,-1,9,1
335,1,1,1,1,30,6,3,0,0,0,0,-1,2,1
336,2,1,2,1,2,1,3,0,0,2,0,-1,9,1
337,1,1,2,2,51,8,3,0,0,0,3,-1,11,1
338,1,1,2,2,36,7,3,0,0,0,3,-1,11,1
339,1,3,2,2,-1,-1,3,0,0,0,3,-1,11,1
340,2,1,1,1,26,6,3,0,0,0,0,-1,21,1
341,2,2,2,1,28,6,3,0,0,0,0,-1,21,1
342,1,1,3,2,26,6,3,1,3,0,0,-1,0,-1
343,1,1,1,1,28,6,3,0,0,0,0,-1,5,1
344,1,1,1,1,25,5,3,0,0,0,0,-1,3,1
345,2,2,1,1,24,5,3,0,0,0,0,-1,1,1
346,1,1,3,2,43,7,3,5,1,0,0,-1,0,1
347,1,1,1,1,22,5,3,0,0,0,0,-1,9,1
348,1,2,2,1,-1,-1,2,0,0,1,0,-1,9,1
349,2,1,1,1,41,7,3,0,0,0,0,-1,1,1
350,1,1,2,1,81,11,3,0,0,0,4,-1,11,1
351,1,1,1,2,27,6,3,0,0,0,0,-1,9,1
352,2,1,1,1,40,7,3,0,0,0,0,-1,1,1
353,2,1,3,2,34,6,3,5,1,0,0,-1,0,1
354,2,1,1,1,29,6,3,0,0,0,0,-1,9,1
355,2,1,1,1,31,6,3,0,0,0,0,-1,5,1
356,1,1,1,1,35,6,3,0,0,0,0,-1,1,1
357,1,1,3,2,25,5,3,1,3,0,0,-1,0,1
358,1,2,1,1,36,7,2,0,0,0,0,-1,5,1
359,1,1,1,2,-1,-1,3,0,0,0,0,-1,9,1
360,1,1,1,1,31,6,3,0,0,0,0,-1,2,1
361,2,1,1,2,31,6,3,0,0,0,0,-1,1,-1
362,1,1,1,1,40,7,3,0,0,0,0,-1,9,1
363,1,1,3,1,62,9,3,5,3,0,0,-1,0,1
364,1,1,3,2,60,9,3,4,3,0,0,-1,0,1
365,1,1,1,2,60,9,3,0,0,0,0,-1,1,1
366,2,1,1,1,30,6,3,0,0,0,0,-1,4,1
367,2,2,2,2,30,6,3,0,0,0,0,-1,4,1
368,2,1,1,1,30,6,2,0,0,0,0,-1,5,1
369,2,1,1,1,18,4,3,0,0,0,0,-1,1,-1
370,1,1,2,1,-1,-1,3,0,0,1,0,-1,9,1
371,1,1,1,1,37,7,3,0,0,0,0,-1,1,1
372,1,1,1,1,50,8,2,0,0,0,0,-1,9,-1
373,2,1,1,1,31,6,3,0,0,0,0,-1,2,1
374,2,1,1,1,24,5,3,0,0,0,0,-1,1,1
375,2,1,1,2,23,5,3,0,0,0,0,-1,1,-1
376,1,1,3,1,21,5,3,4,3,0,0,-1,0,1
377,2,1,1,1,32,6,3,0,0,0,0,-1,3,-1
378,1,1,1,1,59,9,3,0,0,0,0,-1,8,-1
379,1,1,1,1,52,8,2,0,0,0,0,-1,5,1
380,1,1,1,1,25,5,3,0,0,0,0,-1,90,-1
381,1,1,1,1,42,7,3,0,0,0,0,-1,9,1
382,2,1,1,1,34,6,3,0,0,0,0,-1,1,1
383,1,1,2,2,35,6,3,0,0,0,3,-1,11,1
384,1,2,3,1,2,1,3,5,1,0,0,-1,0,1
385,2,1,1,1,40,7,2,0,0,0,0,-1,1,1
386,1,1,2,2,37,7,3,0,0,1,0,-1,9,1
387,1,2,1,1,30,6,3,0,0,0,0,-1,9,1
388,1,1,1,1,30,6,3,0,0,0,0,-1,1,1
389,1,1,3,1,35,6,3,9,5,0,0,-1,0,1
390,2,1,1,1,23,5,3,0,0,0,0,-1,1,1
391,1,1,1,2,20,4,3,0,0,0,0,-1,9,1
392,2,1,1,2,38,7,3,0,0,0,0,-1,1,-1
393,2,1,1,1,31,6,3,0,0,0,0,-1,1,1
394,2,1,1,2,74,10,2,0,0,0,0,-1,9,1
395,1,1,1,2,38,7,3,0,0,0,0,-1,9,1
396,1,1,1,1,45,7,3,0,0,0,0,-1,5,1
397,3,1,1,1,33,6,3,0,0,0,0,-1,1,1
398,1,1,1,1,54,8,3,0,0,0,0,-1,8,1
399,2,1,1,1,35,6,3,0,0,0,0,-1,2,1
400,2,1,1,1,-1,-1,2,0,0,0,0,-1,4,1
401,1,1,3,1,24,5,3,5,1,0,0,-1,0,1
402,1,1,1,1,28,6,3,0,0,0,0,-1,1,1
403,2,1,1,1,60,9,3,0,0,0,0,-1,1,1
404,1,1,1,2,40,7,2,0,0,0,0,-1,9,-1
405,1,1,1,1,29,6,3,0,0,0,0,-1,1,1
406,1,1,1,1,26,6,3,0,0,0,0,-1,9,1
407,2,1,1,1,39,7,2,0,0,0,0,-1,3,1
408,1,1,1,2,31,6,2,0,0,0,0,-1,1,1
409,1,1,3,1,9,2,3,5,4,0,0,-1,0,1
410,1,1,1,1,45,7,3,0,0,0,0,-1,5,1
411,1,1,2,2,22,5,3,0,0,0,2,-1,11,-1
412,2,1,1,1,63,9,3,0,0,0,0,-1,1,-1
413,1,2,1,1,31,6,3,0,0,0,0,-1,9,1
414,1,3,2,1,26,6,3,0,0,1,0,-1,9,1
415,1,4,2,2,24,5,3,0,0,2,0,-1,9,1
416,2,1,1,1,29,6,3,0,0,0,0,-1,9,1
417,1,1,3,2,48,8,3,9,9,0,0,-1,0,1
418,2,1,1,1,27,6,3,0,0,0,0,-1,1,1
419,2,1,1,2,35,6,2,0,0,0,0,-1,3,1
420,1,1,3,2,25,5,2,1,3,0,0,-1,0,1
421,1,1,2,2,30,6,2,0,0,0,3,-1,11,1
422,1,1,1,1,47,8,3,0,0,0,0,-1,8,1
423,2,1,1,1,45,7,3,0,0,0,0,-1,4,1
424,1,1,2,2,55,8,3,0,0,0,4,-1,11,-1
425,2,1,1,1,35,6,3,0,0,0,0,-1,5,1
426,1,1,3,2,53,8,3,5,3,0,0,-1,0,1
427,2,1,1,1,43,7,3,0,0,0,0,-1,5,1
428,1,1,1,2,51,8,2,0,0,0,0,-1,9,1
429,1,1,3,1,49,8,3,1,1,0,0,-1,0,1
430,1,1,3,2,43,7,3,4,1,0,0,-1,0,1
431,1,1,1,2,51,8,3,0,0,0,0,-1,1,1
432,1,1,1,1,29,6,3,0,0,0,0,-1,1,1
433,2,1,1,2,-1,-1,3,0,0,0,0,-1,1,-1
434,1,1,3,1,-1,-1,3,5,1,0,0,-1,0,-1
435,1,1,2,2,31,6,3,0,0,0,0,-1,5,-1
436,1,1,1,1,58,9,3,0,0,0,0,-1,1,1
